name,photo_url
Lucas Vázquez,http://commons.wikimedia.org/wiki/Special:FilePath/Lucas%20V%C3%A1zquez.jpg
Chris Smalling,http://commons.wikimedia.org/wiki/Special:FilePath/Chris%20Smalling%202023.jpg
James Milner,http://commons.wikimedia.org/wiki/Special:FilePath/James%20Milner%202022-07-21%20Fu%C3%9Fball%2C%20M%C3%A4nner%2CFreundschaftsspiel%2C%20RB%20Leipzig%20-%20FC%20Liverpool%201DX%202223%20by%20Stepro%20%28cropped%29.jpg
Trent Alexander-Arnold,http://commons.wikimedia.org/wiki/Special:FilePath/Trent%20Alexander-Arnold%202018%20%28cropped%29.jpg
Koke,http://commons.wikimedia.org/wiki/Special:FilePath/Koke%202019.jpg
Ansu Fati,http://commons.wikimedia.org/wiki/Special:FilePath/%D0%9C%D0%B0%D1%82%D1%87%20%C2%AB%D0%94%D0%B8%D0%BD%D0%B0%D0%BC%D0%BE%C2%BB%20-%20%C2%AB%D0%91%D0%B0%D1%80%D1%81%D0%B5%D0%BB%D0%BE%D0%BD%D0%B0%C2%BB%200-1.%202%20%D0%BB%D0%B8%D1%81%D1%82%D0%BE%D0%BF%D0%B0%D0%B4%D0%B0%202021%20%D1%80%D0%BE%D0%BA%D1%83%20%E2%80%94%201289339%20%28cropped%29.jpg
Claudio Marchisio,http://commons.wikimedia.org/wiki/Special:FilePath/Claudio%20Marchisio%2C%202019%20%28cropped%29.jpg
Gianluigi Donnarumma,http://commons.wikimedia.org/wiki/Special:FilePath/Norway%20Italy%20-%20June%202025%20B%2033%20-%20Gianluigi%20Donnarumma%20%28close-up%29.jpg
Jannik Sinner,http://commons.wikimedia.org/wiki/Special:FilePath/Jannik%20Sinner%20%282024%20US%20Open%29%2004%20%28cropped%29.jpg
Dimitri Payet,http://commons.wikimedia.org/wiki/Special:FilePath/Payet%20April%202016.jpeg
Benjamin Pavard,http://commons.wikimedia.org/wiki/Special:FilePath/Benjamin%20Pavard%2020180709.jpg
Jack Wilshere,http://commons.wikimedia.org/wiki/Special:FilePath/Jack%20Wilshere%20-%20Hertha%20BSC%20vs.%20West%20Ham%20United%20%2820190731%29.jpg
Phil Foden,http://commons.wikimedia.org/wiki/Special:FilePath/Phil%20Foden%202022-11-21%201.jpg
Jadon Sancho,http://commons.wikimedia.org/wiki/Special:FilePath/Manchester%20United%20v%20Liverpool%2C%2022%20August%202022%20%2833%29%20%28cropped%29.jpg
Bojan Krkić,http://commons.wikimedia.org/wiki/Special:FilePath/Photo%20of%20Bojan%20Krkic.jpg
Pedro,http://commons.wikimedia.org/wiki/Special:FilePath/Bar%C3%A7a%20-%20Napoli%20-%2020140806%20-%20Pedro%20Rodriguez%20%28cropped%29.jpg
Fernando Llorente,http://commons.wikimedia.org/wiki/Special:FilePath/Fernando%20Llorente%20contra%20el%20H%C3%A9rcules%20en%20el%20estadio%20Jos%C3%A9%20Rico%20P%C3%A9rez%20%28american%20shot%29.jpg
Kepa Arrizabalaga,http://commons.wikimedia.org/wiki/Special:FilePath/Kepa%20Arrizabalaga%202021%20%28cropped%29.jpg
Marco Asensio,http://commons.wikimedia.org/wiki/Special:FilePath/Marco%20Asensio%202018.jpg
Pedri,http://commons.wikimedia.org/wiki/Special:FilePath/Pedri%20-%20Paris%20SG%20-%20FC%20Barcelone%202021.png
Marco Verratti,http://commons.wikimedia.org/wiki/Special:FilePath/2019-07-17%20SG%20Dynamo%20Dresden%20vs.%20Paris%20Saint-Germain%20by%20Sandro%20Halank%E2%80%93505%20%28cropped%29.jpg
Blaise Matuidi,http://commons.wikimedia.org/wiki/Special:FilePath/Matuidi%20PSG.jpg
Rodrygo,http://commons.wikimedia.org/wiki/Special:FilePath/Rodrygo%202023%20%28cropped%29.jpg
Gavi,http://commons.wikimedia.org/wiki/Special:FilePath/Gavi%20%28footballer%29.jpg
Stephan El Shaarawy,http://commons.wikimedia.org/wiki/Special:FilePath/20150616%20-%20Portugal%20-%20Italie%20-%20Gen%C3%A8ve%20-%20Stephan%20El%20Shaarawy%20%28cropped%29.jpg
Lorenzo Insigne,http://commons.wikimedia.org/wiki/Special:FilePath/Bar%C3%A7a%20-%20Napoli%20-%2020140806%20-%2013%20%28cropped%29.jpg
Anthony Martial,http://commons.wikimedia.org/wiki/Special:FilePath/Anthony%20Martial%2027%20September%202017%20cropped.jpg
Kingsley Coman,http://commons.wikimedia.org/wiki/Special:FilePath/Kingsley%20Coman%20%282019%29%20%28cropped%29.jpg
Daniel Sturridge,http://commons.wikimedia.org/wiki/Special:FilePath/LFC%20Parade%202019%2001%20Daniel%20Sturridge.jpg
Gary Cahill,http://commons.wikimedia.org/wiki/Special:FilePath/Gary%20Cahill%202018%202%20%28cropped%29%20%28cropped%29.jpg
Cole Palmer,http://commons.wikimedia.org/wiki/Special:FilePath/Cole%20Palmer%202025%20FIFA%20Club%20World%20Cup%20Final.jpg
Sergi Roberto,http://commons.wikimedia.org/wiki/Special:FilePath/2012%202013%20-%20Sergi%20Roberto.jpg
Sergi Roberto,http://commons.wikimedia.org/wiki/Special:FilePath/Sergi%20Roberto%202019%2003%2017%201.jpg
Federico Chiesa,http://commons.wikimedia.org/wiki/Special:FilePath/Federico%20Chiesa%20vs%20Zenit%202021-10-20%20%28cropped2%29.jpg
Adil Rami,http://commons.wikimedia.org/wiki/Special:FilePath/Adil%20Rami%2020120611.jpg
Eduardo Camavinga,http://commons.wikimedia.org/wiki/Special:FilePath/Ofrenda%20de%20la%20Liga%20y%20la%20Champions-13-L.Mill%C3%A1n%20%2852109790215%29%20%28cropped%29.jpg
John Stones,http://commons.wikimedia.org/wiki/Special:FilePath/1%20john%20stones%202015%20%28cropped%29.jpg
Jack Grealish,http://commons.wikimedia.org/wiki/Special:FilePath/ManCity20240722-017%20%28cropped%29.jpg
Nacho Monreal,http://commons.wikimedia.org/wiki/Special:FilePath/1%20nacho%20monreal%202015.jpg
Nacho Monreal,http://commons.wikimedia.org/wiki/Special:FilePath/Nacho%20Monreal%20Arsenal%20%28cropped%29.jpg
Carlos Alcaraz,http://commons.wikimedia.org/wiki/Special:FilePath/Carlos%20Alcaraz%20Roland%20Garros%202025%20%28cropped%29.jpg
Steve Mandanda,http://commons.wikimedia.org/wiki/Special:FilePath/Steve%20Mandanda%202018.jpg
Miralem Pjanić,http://commons.wikimedia.org/wiki/Special:FilePath/20150331%202026%20AUT%20BIH%202165%20%28cropped%29.jpg
Eric Dier,http://commons.wikimedia.org/wiki/Special:FilePath/2020-03-10%20Fu%C3%9Fball%2C%20M%C3%A4nner%2C%20UEFA%20Champions%20League%20Achtelfinale%2C%20RB%20Leipzig%20-%20Tottenham%20Hotspur%201DX%203691%20by%20Stepro.jpg
Jesse Lingard,http://commons.wikimedia.org/wiki/Special:FilePath/240609%20FC%20%EC%84%9C%EC%9A%B8%20%ED%8C%AC%EC%82%AC%EC%9D%B8%ED%9A%8C%20%28Jesse%20Lingard%29.jpg
Mason Mount,http://commons.wikimedia.org/wiki/Special:FilePath/Mountbrightonoct3%202019%20%28cropped%29.jpg
Javi Martínez,http://commons.wikimedia.org/wiki/Special:FilePath/2019147183047%202019-05-27%20Fussball%201.FC%20Kaiserslautern%20vs%20FC%20Bayern%20M%C3%BCnchen%20-%20Sven%20-%201D%20X%20MK%20II%20-%200041%20-%20AK8I1654%20%28cropped%29.jpg
Carlos Sainz Jr.,http://commons.wikimedia.org/wiki/Special:FilePath/Formel12021-SchlossGabelhofen%2815%29%20%28cropped%29.jpg
Ferrán Torres,http://commons.wikimedia.org/wiki/Special:FilePath/Ferran%20Torres%202019.png
Adrien Rabiot,http://commons.wikimedia.org/wiki/Special:FilePath/Rabiot%20asse%20om%202425.png
Jules Bianchi,http://commons.wikimedia.org/wiki/Special:FilePath/Jules%20Bianchi%202012-3.JPG
Alex Oxlade-Chamberlain,http://commons.wikimedia.org/wiki/Special:FilePath/Alex%20Oxlade-Chamberlain%20%28cropped%29.jpg
Iago Aspas,http://commons.wikimedia.org/wiki/Special:FilePath/XXIII%20Memorial%20Quinocho%20%28RC%20Celta%20vs%20Mainz%2005%29%20-%2010.jpg
Héctor Bellerín,http://commons.wikimedia.org/wiki/Special:FilePath/1%20hector%20bellerin%202015.jpg
Riccardo Montolivo,http://commons.wikimedia.org/wiki/Special:FilePath/Riccardo%20Montolivo%20Euro%202012%20vs%20England.jpg
Ignazio Abate,http://commons.wikimedia.org/wiki/Special:FilePath/Abate%20has%20balls%2C%20August%202012.jpg
Mattia De Sciglio,http://commons.wikimedia.org/wiki/Special:FilePath/20150616%20-%20Portugal%20-%20Italie%20-%20Gen%C3%A8ve%20-%20Mattia%20De%20Sciglio%201.jpg
Laurent Koscielny,http://commons.wikimedia.org/wiki/Special:FilePath/Koscielny%20France.jpg
Lucas Digne,http://commons.wikimedia.org/wiki/Special:FilePath/Lucas%20Digne%20Everton%20%28cropped%29.jpg
Jules Koundé,http://commons.wikimedia.org/wiki/Special:FilePath/Jules%20Kound%C3%A9%202020.jpg
Lando Norris,http://commons.wikimedia.org/wiki/Special:FilePath/2024-08-25%20Motorsport%2C%20Formel%201%2C%20Gro%C3%9Fer%20Preis%20der%20Niederlande%202024%20STP%204016%20by%20Stepro%20%28cropped%29.jpg
Declan Rice,http://commons.wikimedia.org/wiki/Special:FilePath/1%20declan%20rice%20arsenal%202025%20%28cropped%29.jpg
Jamal Musiala,http://commons.wikimedia.org/wiki/Special:FilePath/Jamal%20Musiala%202022%20%28cropped%29.jpg
Ander Herrera,http://commons.wikimedia.org/wiki/Special:FilePath/2019-07-17%20SG%20Dynamo%20Dresden%20vs.%20Paris%20Saint-Germain%20by%20Sandro%20Halank%E2%80%93282%20%28cropped%29.jpg
Lucas Hernandez,http://commons.wikimedia.org/wiki/Special:FilePath/Hernandez%20asse%20psg%202425.png
Dani Olmo,http://commons.wikimedia.org/wiki/Special:FilePath/Dani%20Olmo%202022.jpg
Jorge Luiz Frello,http://commons.wikimedia.org/wiki/Special:FilePath/Jorginho%20Chelsea.jpg
Alexandre Lacazette,http://commons.wikimedia.org/wiki/Special:FilePath/Alexandre%20Lacazette%20at%20Baku%20before%202019%20UEFA%20Europe%20League%20Final.jpg
Moussa Sissoko,http://commons.wikimedia.org/wiki/Special:FilePath/Moussa%20Sissoko%20cropped.JPG
Romain Grosjean,http://commons.wikimedia.org/wiki/Special:FilePath/Romain%20Grosjean%20at%20Road%20America%20in%202021.png
David Ospina,http://commons.wikimedia.org/wiki/Special:FilePath/Polic%C3%ADa%20de%20Infancia%20y%20Adolescencia%20-%20David%20Ospina%20%28cropped%29.jpeg
Medhi Benatia,http://commons.wikimedia.org/wiki/Special:FilePath/Medhi%20Benatia.jpg
Lucas Hernandez,http://commons.wikimedia.org/wiki/Special:FilePath/Hernandez%20asse%20psg%202425.png
Aurélien Tchouaméni,http://commons.wikimedia.org/wiki/Special:FilePath/Aur%C3%A9lien%20Tchouam%C3%A9ni.jpg
Danny Rose,http://commons.wikimedia.org/wiki/Special:FilePath/Danny%20Rose%202018-06-28%201.jpg
Adam Lallana,http://commons.wikimedia.org/wiki/Special:FilePath/Adam%20Lallana%20in%20Bangkok%20%2819721313015%29.jpg
